feature,index
PN=minority,10172
"""-pretty",13990
"creation-""",18278
PN=books,25127
miles-out,18372
yards-away,19896
dried-blood,20291
the-tower,13502
mediterranean-and,6346
nomination-comes,25351
FN=applicants,14657
each-nation,7015
PV=resign,17309
nine-seasons,24404
PN=rivalry,27381
PV=hate,6153
number-1,1733
PV=offer,17760
PN=house,930
another-day,2210
PN=sites,15321
a-villain,10473
PRP$-TO,26306
casino-gambling,12604
FN=sale,1597
TO-NN,1210
i-looked,6118
terms-of,5310
inside-baseball,22872
:-WDT,19473
noose-tightened,23123
distinguished-himself,17071
you-like,2079
PN=jail,26513
PV=reassured,23399
board-complained,14454
PN=director,6174
require-them,7489
PN=square,16682
PN=illness,24835
FN=friend,9266
“-women,7935
big-drop,12104
was-blown,18786
muhammad-abdulazeez,19257
nineteen-there,4131
"vince-,",20695
PV=assimilating,27487
PV=diagnosed,1181
27-team,20313
the-luggage,4119
tolerance-and,9255
american-commitment,5164
nicaraguan-soldiers,13393
campaign-rallies,4557
moving-your,14935
her-that,5335
is-impacted,19568
PN=nicole,24370
insulate-consumers,17526
both-parties,9201
VBP-CD,3995
government-subsidies,27040
has-carried,19735
FN=games,7321
meeting-on,25381
FN=environmentalists,17629
FN=template,7798
be-heard,14952
PV=salute,11552
be-appropriate,5633
washington-dc,262
PN=reporters,9625
PN=commitment,5163
restraining-order,20454
january-no,3413
six-mile,23042
PN=compensate,18607
a-credit,17521
the-cia,1798
the-controversy,21774
PN=speaker,5567
puts-riders,8366
ahmad-almohammad,6374
PV=predisposed,3454
number-),17519
PN=ryan,25530
she-cries,20506
their-television,21863
PV=missing,25076
RB-PDT,8662
",-holding",16482
practice-.,3847
PN=commentator,27043
indicate-happiness,9355
account-that,23706
a-rope,11441
---saying,27058
FN=storytelling,6709
FN=response,5471
FN=illinois,6572
deliberately-operate,16773
cardin-just,12196
a-decision,2362
FN=telegram,20356
a-caroline,19021
s-payroll,4355
are-counting,19060
the-long,17346
his-battle,21892
FN=llamas,4313
history-.,8962
"history-,",11012
"city-,",6483
PN=doctorate,1742
PN=kuem,8625
FN=loan,16647
clicks-away,17765
oatmeal-and,15198
to-that,2968
at-pittsburgh,7158
PV=translate,27086
before-you,23932
",-one",4861
this-longer,7807
PN=white,12409
PV=exists,24087
finance-minister,23333
new-image,18726
PN=foray,26907
emails-are,2718
general-manager,21484
tremendous-power,22191
vote-today,12109
democratic-strategist,21748
this-attack,27323
PV=erupts,25902
tension-we,2246
arm-the,3096
PN=time,875
PV=rotating,17925
to-attack,19351
RBR-CC,16034
the-24,19437
watching-himself,10450
the-23,23229
speech-went,13738
single-day,11005
VBG-NNS,330
VBG-NNP,26
let-them,26944
"indicated-,",11928
could-someone,11270
change-dramatically,9966
a-celestial,18574
clinton-turned,24316
bump-up,22084
one-operating,27217
crime-.,16248
"crime-,",3656
PV=outweighed,21394
falling-unemployment,439
be-back,2937
